Order_ID,Amount,Discount,Quantity_Sold
1001,5053.97,45,18
1002,4384.02,45,17
1003,4631.23,20,30
1004,2167.94,20,39
1005,3750.2,15,13
1006,3761.15,0,32
1007,618.31,50,29
1008,7698.92,50,46
1009,4223.39,20,30
1010,8239.58,20,18
1011,8518.45,10,13
1012,2198.74,5,43
1013,6607.8,5,21
1014,4775.59,5,30
1015,8813.55,50,21
1016,2235.83,50,48
1017,6810.35,10,17
1018,6116.75,50,40
1019,3023.48,20,19
1020,1452.35,20,15
1021,6551.23,15,9
1022,7412.11,15,10
1023,3224.71,50,44
1024,6483.84,20,31
1025,4011.8,5,23
1026,7160.75,50,30
1027,2072.23,5,33
1028,8913.13,20,9
1029,2945.36,50,47
1030,3741.08,45,1
1031,675.11,0,44
1032,1203.97,15,35
1033,5207.03,50,11
1034,2749.17,45,34
1035,8371.25,5,16
1036,245.46,10,9
1037,3853.03,5,32
1038,3439.72,20,15
1039,291.34,5,12
1040,1331.25,5,33
1041,4195.06,15,45
1042,4979.36,35,14
1043,4102.47,20,8
1044,5356.28,50,8
1045,5991.8,20,27
1046,198.25,10,12
1047,4694.54,15,1
1048,9638.64,15,43
1049,5238.42,0,40
1050,6807.67,25,42
1051,3187.45,20,11
1052,7762.51,0,39
1053,7751.92,45,43
1054,5260.83,45,31
1055,9762.54,5,17
1056,1342.95,20,33
1057,267.78,50,32
1058,7724.57,45,29
1059,8090.84,15,21
1060,1290.05,15,21
1061,2729.27,30,40
1062,273.77,20,23
1063,3003.76,5,6
1064,7754.1,45,22
1065,5227.81,15,38
1066,3546.15,0,37
1067,3780.22,10,45
1068,113.4,20,8
1069,3068.03,45,41
1070,6499.94,5,49
1071,9744.52,15,35
1072,8485.9,5,11
1073,333.59,5,24
1074,8995.75,15,49
1075,7853.66,15,21
1076,7825.72,45,2
1077,4634.16,5,40
1078,4040.25,5,19
1079,3098.87,0,39
1080,750.38,25,28
1081,2359.53,5,17
1082,2541.38,20,6
1083,4892.36,15,19
1084,7499.7,10,38
1085,4790.72,0,28
1086,672.66,50,2
1087,9582.12,5,38
1088,9432.97,45,37
1089,7873.38,0,4
1090,9914.15,0,22
1091,5490.38,45,26
1092,9631.41,0,49
1093,848.49,50,43
1094,3720.24,25,36
1095,2331.27,40,13
1096,2038.75,10,32
1097,1493.95,15,17
1098,6261.9,15,41
1099,7835.09,20,36
1100,5825.15,20,46
1101,1554.93,10,19
1102,8130.13,20,35
1103,6395.95,0,46
1104,3942.84,15,40
1105,6773.89,35,28
1106,2673.06,5,1
1107,3517.4,0,42
1108,9183.11,5,18
1109,2975.99,20,48
1110,4752.88,20,40
1111,8912.4,0,33
1112,7106.44,5,12
1113,715.81,15,8
1114,1558.3,0,24
1115,177.63,45,16
1116,6346.13,40,4
1117,4531.97,15,38
1118,1429.32,50,44
1119,9583.55,20,27
1120,5343.63,15,9
1121,2494.74,50,47
1122,5055.98,20,16
1123,6828.24,10,12
1124,854.77,50,31
1125,2819.57,15,24
1126,8088.96,15,14
1127,4650.68,45,45
1128,5511.11,5,25
1129,4384.88,20,34
1130,534.61,15,3
1131,1740.92,50,24
1132,4510.86,20,42
1133,2170.94,10,9
1134,594.79,10,26
1135,8452.13,0,20
1136,9813.81,15,40
1137,7952.11,10,10
1138,8552.47,50,19
1139,2495.57,45,3
1140,9610.21,15,24
1141,2049.56,5,5
1142,9519.16,10,3
1143,9948.71,15,27
1144,7146.06,10,16
1145,9813.32,5,49
1146,5738.44,50,15
1147,2669.46,50,35
1148,4426.26,45,12
1149,5976.25,45,41
1150,823.51,50,44
1151,6261.2,5,26
1152,9813.66,0,47
1153,1982.07,45,34
1154,7946.69,0,23
1155,9088.2,5,31
1156,9442.65,50,20
1157,9605.34,30,12
1158,5262.45,0,23
1159,9775.35,0,4
1160,7597.37,5,23
1161,1700.55,20,48
1162,4821.31,15,48
1163,7211.48,15,1
1164,2548.67,10,25
1165,6442.09,0,2
1166,6699.34,50,30
1167,1710.73,0,3
1168,5694.34,0,21
1169,7739.11,45,25
1170,5039.07,15,20
1171,219.82,25,49
1172,189.48,5,22
1173,3634.59,20,21
1174,9269.32,50,33
1175,2363.9,20,38
1176,6380.2,10,15
1177,2298.55,5,46
1178,3284.53,0,15
1179,8495.62,5,46
1180,7315.73,0,25
1181,1044.45,20,21
1182,4344.15,45,24
1183,388.78,20,5
1184,4860.81,15,6
1185,6658.1,15,49
1186,1273.18,50,43
1187,2959.96,45,48
1188,4038.58,20,44
1189,9203.36,50,47
1190,9933.22,45,23
1191,544.62,15,4
1192,7633.98,0,27
1193,3780.07,50,18
1194,3985.34,35,21
1195,7567.22,50,28
1196,9192.42,5,35
1197,9514.19,20,22
1198,5813.51,0,40
1199,3635.5,30,23
1200,7896.74,50,3
1201,2584.91,50,40
1202,5684.33,30,10
1203,3649.93,45,25
1204,6600.65,15,49
1205,2479.95,5,8
1206,1996.77,5,11
1207,9190.57,15,5
1208,1107.86,15,45
1209,5108.98,5,37
1210,2286.44,5,45
1211,485.41,0,38
1212,456.59,10,29
1213,1834.7,45,5
1214,8681.03,45,9
1215,2896.54,15,48
1216,9509.55,15,2
1217,5858.06,30,1
1218,4422.48,50,40
1219,5842.88,0,30
1220,5215.31,0,11
1221,7611.88,20,28
1222,2896.71,45,44
1223,3595.2,45,12
1224,8951.53,5,39
1225,9469.92,15,26
1226,8936.33,0,13
1227,4252.54,50,8
1228,7825.62,50,28
1229,4815.72,45,30
1230,5025.64,20,9
1231,2126.33,45,39
1232,5952.19,15,31
1233,1942.75,30,21
1234,3382.49,50,47
1235,8564.8,15,34
1236,2150.05,0,31
1237,804.47,10,25
1238,783.18,10,12
1239,9413.77,45,1
1240,5118.51,20,22
1241,4153.18,5,40
1242,8127.7,50,37
1243,8374.68,5,47
1244,3388.69,10,1
1245,6966.82,45,1
1246,7734.12,0,42
1247,6581.04,15,42
1248,1600.79,5,21
1249,8771.24,10,15
1250,5437.04,10,17
1251,2896.48,45,22
1252,4309.76,45,38
1253,471.95,10,35
1254,1365.88,40,45
1255,7678.91,0,16
1256,100.12,50,8
1257,4224.0,10,47
1258,5272.85,20,17
1259,640.88,20,17
1260,9733.47,40,26
1261,2338.64,15,13
1262,3111.57,45,17
1263,3109.03,45,38
1264,2381.12,5,17
1265,114.59,5,48
1266,7320.51,20,14
1267,9671.77,10,45
1268,2320.51,0,6
1269,6664.17,0,35
1270,7444.77,15,46
1271,8499.41,5,14
1272,4284.03,15,47
1273,3099.02,35,8
1274,3320.42,30,15
1275,7154.95,15,27
1276,8186.12,15,13
1277,1897.98,10,49
1278,3772.32,50,31
1279,9029.21,50,35
1280,8086.27,45,6
1281,9850.1,15,5
1282,7567.06,50,22
1283,3992.63,45,49
1284,5947.31,45,23
1285,6644.04,0,25
1286,876.71,15,34
1287,5490.52,20,26
1288,7122.28,15,47
1289,1756.48,0,5
1290,7828.25,15,26
1291,5879.35,50,20
1292,9527.0,0,6
1293,519.98,10,6
1294,2726.73,50,18
1295,6055.38,10,4
1296,3035.94,20,17
1297,7172.8,50,14
1298,7614.15,0,14
1299,1114.91,10,13
1300,5187.16,10,7
1301,5138.02,10,44
1302,3755.88,50,15
1303,9335.96,5,19
1304,8292.31,0,43
1305,7002.37,10,47
1306,7171.83,35,44
1307,4670.99,5,35
1308,9217.85,50,17
1309,6976.49,50,35
1310,7316.91,50,19
1311,8630.74,45,20
1312,2813.31,20,36
1313,8090.0,5,35
1314,2032.88,5,32
1315,3518.89,45,48
1316,3422.54,5,44
1317,9787.4,45,40
1318,8579.72,0,24
1319,7041.58,10,17
1320,7297.86,5,7
1321,5664.52,0,43
1322,9476.2,20,1
1323,5012.96,15,35
1324,3867.13,45,32
1325,1714.05,5,36
1326,7883.44,15,13
1327,7370.99,10,6
1328,3905.11,10,14
1329,349.41,0,37
1330,8406.07,50,48
1331,213.04,5,15
1332,7066.63,0,47
1333,9705.55,10,4
1334,4432.85,10,40
1335,2426.24,5,16
1336,7078.22,5,28
1337,8189.57,10,16
1338,5509.66,50,4
1339,9673.65,0,45
1340,611.52,50,26
1341,5097.48,35,28
1342,7212.69,20,32
1343,8640.14,30,45
1344,1874.63,20,2
1345,8020.03,20,31
1346,5571.8,5,3
1347,4025.88,15,8
1348,1403.98,0,24
1349,8666.43,50,15
1350,1657.0,20,43
1351,3166.9,40,31
1352,2971.45,20,9
1353,8727.0,0,39
1354,6759.76,5,45
1355,7987.15,5,2
1356,2579.63,5,8
1357,6286.25,10,7
1358,5760.29,25,44
1359,8345.02,45,39
1360,9070.26,50,42
1361,220.35,45,16
1362,6772.8,15,35
1363,613.17,0,30
1364,5533.7,10,10
1365,2947.56,5,38
1366,3137.09,45,18
1367,3594.29,50,5
1368,6250.8,50,29
1369,3407.09,0,39
1370,7353.72,15,34
1371,4104.82,20,43
1372,776.7,45,45
1373,7859.22,5,23
1374,2929.01,10,5
1375,4384.39,10,30
1376,6885.89,35,6
1377,3391.32,20,46
1378,660.2,20,44
1379,3801.82,5,4
1380,9450.04,10,29
1381,6453.17,20,23
1382,6747.64,35,6
1383,6359.59,5,32
1384,2070.02,15,42
1385,4241.51,10,18
1386,7534.3,0,15
1387,1103.59,25,40
1388,2850.74,15,32
1389,2835.56,0,9
1390,4376.99,20,37
1391,9805.65,45,10
1392,768.28,10,20
1393,5235.14,20,6
1394,1875.71,10,48
1395,9709.7,0,3
1396,1221.7,10,42
1397,4095.65,25,11
1398,7405.06,45,43
1399,7075.09,0,17
1400,4285.01,45,32
1401,3530.59,45,4
1402,4036.36,5,4
1403,2716.34,10,17
1404,2132.8,0,41
1405,4882.09,15,19
1406,2758.48,45,5
1407,2945.87,15,32
1408,6601.89,10,22
1409,9688.52,20,6
1410,6076.01,5,35
1411,862.1,5,22
1412,848.28,45,1
1413,9519.09,20,20
1414,3043.18,0,22
1415,1011.46,45,48
1416,6030.54,45,11
1417,6274.12,10,13
1418,6520.2,5,42
1419,2747.28,50,3
1420,249.6,15,9
1421,9653.65,45,12
1422,2583.84,20,23
1423,6792.66,0,14
1424,7095.64,45,33
1425,6139.07,10,18
1426,3197.78,15,49
1427,2783.85,0,41
1428,6016.92,45,9
1429,8674.35,0,23
1430,9472.66,30,10
1431,1148.47,5,19
1432,1632.8,10,47
1433,9452.89,10,5
1434,7391.7,50,47
1435,8841.64,0,23
1436,2106.06,0,30
1437,5917.1,5,25
1438,7041.28,45,28
1439,6833.11,0,34
1440,4140.7,10,45
1441,252.41,20,48
1442,5870.97,50,47
1443,2605.71,10,25
1444,4557.52,10,10
1445,9580.05,5,14
1446,4050.45,20,42
1447,8414.04,5,46
1448,1966.55,20,30
1449,6757.36,45,41
1450,9772.37,0,25
1451,1108.74,45,14
1452,182.37,0,35
1453,4392.47,5,48
1454,1016.99,20,34
